title	score	num_comm	created	content	sources
High levels of microplastics in infant-feeding bottles released during formula preparation	2039	315	2020-10-19 19:10:57	None	None
Russia planned cyber-attack on Tokyo Olympics, says UK	2031	173	2020-10-19 21:04:52	None	None
Oakland's notoriously aggressive turkey captured by wildlife expert posing as frail woman	1961	220	2020-10-23 20:49:12	None	None
U.S. reports about 300,000 more deaths than usual during pandemic: CDC	1946	324	2020-10-21 04:08:59	None	None
Walmart files lawsuit seeking to prove its pharmacists are not responsible for opioid crisis	1940	299	2020-10-23 03:54:17	None	None
Oceanside sanitation commissioner asked to resign after alleged racist social media posts surface	1932	178	2020-10-19 21:09:17	None	None
OxyContin maker to plead to 3 criminal charges	1811	159	2020-10-21 17:54:53	None	None
Minnesota attorney general launches investigation into company accused of hiring armed guards as poll watchers	1742	148	2020-10-22 00:58:01	None	None
Dow falls 150 points to start the week as coronavirus cases rise, stimulus talks in focus	1740	251	2020-10-19 21:48:26	None	None
‘It’s like watching a dream burn:’ Local farmer’s harvesting equipment set on fire	1720	777	2020-10-19 04:46:52	None	None
Police: Connecticut man forced child to kneel on tacks, drink hot sauce until he vomited	1702	158	2020-10-21 18:51:33	None	None
Covid-19 vaccine company under federal investigation after allegedly misrepresenting its role in government program Operation Warp Speed	1673	88	2020-10-19 00:30:19	None	None
Deaths, hospitalizations and at least 68 COVID-19 cases after weeklong church event	1666	106	2020-10-22 20:35:24	None	None
Alaska man’s weapons sentence included Holocaust education	1647	184	2020-10-23 17:54:10	None	None
University of Michigan students given immediate stay-at-home order amid a spike in Covid-19 cases	1626	127	2020-10-21 00:34:53	None	None
Feds say US colleges 'massively' underreport foreign funding	1562	159	2020-10-21 10:18:56	None	None
North Dakota Covid cases per million among highest rate of all countries globally	1538	248	2020-10-22 03:21:11	None	None
Following a week rocked by a mayor's scandal and resignation, Anchorage Assembly chooses first female, openly gay acting mayor	1508	75	2020-10-21 03:01:36	None	None
Man wins $2M after mistakenly buying extra lottery ticket	1514	146	2020-10-23 22:58:01	None	None
Mysterious 'Robin Hood' hackers donating stolen money	1418	103	2020-10-20 19:39:32	None	None
N.Y. Accuses Christian Group of Misleading Consumers on Health Coverage	1381	77	2020-10-20 17:57:13	None	None
Dozens dead, ghost towns: Azerbaijan-Armenia conflict devastates region	1306	83	2020-10-19 01:22:39	None	None
Lee Kun-hee of Samsung Dies at 78; Built an Electronics Titan	2455	145	2020-10-25 05:31:38	None	None
Overdose deaths appear to rise amid coronavirus pandemic in U.S.	1196	304	2020-10-20 21:46:48	None	None
At least 19 women allege medical abuse at Ice detention center in Georgia	1180	49	2020-10-23 22:41:03	None	None
Man Wanted in Sexual Assault Arrested After Standoff at Paramount Studios	1135	72	2020-10-19 16:51:21	None	None
Putin: Russia-China military alliance can’t be ruled out	1128	334	2020-10-23 05:11:44	None	None
France recalls envoy to Turkey after Erdogan questions Macron’s mental health	1203	119	2020-10-24 20:52:46	None	None
Coke is canceling 200 drink brands	1100	645	2020-10-22 20:05:42	None	None
'Slavery is keeping our ports open': Union says seafarers forced to spend up to 18 months on ships	1084	94	2020-10-20 15:25:19	None	None
Canada and U.S. border to stay closed until November 21, Canadian minister says	1059	268	2020-10-19 18:04:05	None	None
Coronavirus cases break records as states in every part of U.S. reel under the surge	1588	229	2020-10-25 02:53:59	None	None
BBC News - Rape case prosecutors must discount sext messages	986	587	2020-10-19 15:51:41	None	None
Live coronavirus found on frozen food packaging in China	979	101	2020-10-19 18:09:12	None	None
Germany grants Hong Kong pro-democracy protester asylum	947	27	2020-10-21 18:09:08	None	None
LA Cannabis Department to Start Taking Applications for Delivery, Distribution and Other Services	952	79	2020-10-20 20:34:00	None	None
US approves $1.8bn weapons sale to Taiwan	952	268	2020-10-22 15:57:13	None	None
Supreme Court allows 3-day extension for Pennsylvania ballot counting	941	117	2020-10-20 03:53:15	None	None
France shuts Paris mosque in crackdown after teacher's beheading	918	198	2020-10-20 21:00:44	None	None
Rocky Mountain National Park closed as wildfire explodes across Colorado	859	75	2020-10-23 12:40:11	None	None
Azeri soldiers have been accused of beheading an Armenian and taunting the victim’s family by posting a photo of his decapitated head on social media, human rights defenders said today	839	61	2020-10-20 02:16:12	None	None
Seattle officers used excessive force at protests, city's OPA finds	812	72	2020-10-24 01:28:41	None	None
Sheriff: 'Cannibals' lured victim to cabin in Oklahoma woods, performed illegal castration	787	227	2020-10-22 08:11:02	None	None
Macron says beheaded teacher was victim of stupidity, hate	789	259	2020-10-22 02:28:13	None	None
Innocent man arrested after letting paedophile use his wi-fi	773	293	2020-10-22 15:11:05	None	None
To avoid quarantining students, a school district tries moving them around every 15 minutes.	755	192	2020-10-21 12:47:42	None	None
FDA approves Gilead's remdesivir as coronavirus treatment	756	156	2020-10-23 00:05:18	None	None
Star Wars: Galaxy's Edge Cast Members at Disneyland Being Laid Off Due to Non-Transferable Seniority	745	170	2020-10-20 16:06:04	None	None
Decades of mismanagement led to choked forests — now it's time to clear them out, fire experts say	739	238	2020-10-19 11:51:42	None	None
Mississippi asks Supreme Court again to review its 15-week abortion ban	728	259	2020-10-23 04:55:52	None	None
Pennsylvania confirms first COVID-19 positive cat	721	93	2020-10-20 21:29:59	None	None
California won't allow virus vaccines without state approval	709	191	2020-10-20 03:31:35	None	None
Amazon workers petition the company for more paid time off to vote	714	92	2020-10-20 01:25:38	None	None
Covid-19: Poland President Duda tests positive for virus	758	66	2020-10-24 19:04:58	None	None
Poland's top court rules against abortions due to fetal defects, paving the way for a near-total ban on the procedure in Poland.	696	390	2020-10-22 18:23:44	None	None
Mask opponent at Florida school board meeting says, 'I want to breathe oxygen'	660	255	2020-10-21 23:09:39	None	None
‘Who else will pay for welfare?’: Business owner says sign is not racist	621	373	2020-10-22 00:26:00	None	None
Santa is skipping Macy's for the first time in 159 years	615	65	2020-10-23 00:07:50	None	None
Murder hornets successfully removed from tree near Blaine	742	113	2020-10-25 00:34:17	None	None
US marine says Australian special forces soldiers made 'deliberate decision to break the rules of war'	593	181	2020-10-22 11:23:33	None	None
8chan kicked offline after protection services are cut	597	185	2020-10-20 10:11:37	None	None
Breonna Taylor 'attached to me' for rest of life, police officer says	583	254	2020-10-22 22:34:44	None	None
Danish submarine killer Peter Madsen, caught in prison escape	577	114	2020-10-20 14:55:04	None	None
Ex-Blue Bell Creameries CEO charged in deadly listeria case	576	58	2020-10-22 04:35:41	None	None
U.S. retailers secure stores as worries about election unrest mount	578	238	2020-10-21 20:09:52	None	None
Cop shoots and kills pit bull during violent mauling as victim was being bitten, dragged by her neck	570	556	2020-10-21 16:44:36	None	None
Taiwan official in hospital after alleged 'violent attack' by Chinese diplomats in Fiji	523	69	2020-10-19 10:24:35	None	None
Global COVID-19 Cases Exceed 40.3 Million, Death Tally Crosses 1117430	492	95	2020-10-20 07:32:07	None	None
New Hampshire restaurant shuts its doors rather than enforce mask mandate	494	137	2020-10-23 01:01:17	None	None
Coronavirus pandemic is causing 'unacceptable' shortages in US drug supplies, report says	494	76	2020-10-23 08:50:25	None	None
Deaths feared as west London building collapses after explosion	484	1	2020-10-21 19:08:02	None	None
Man who bought guns used in 2015 massacre gets 20 years	487	105	2020-10-24 02:00:58	None	None
US jobless claims drop to 787,000, but layoffs remain high	472	131	2020-10-22 17:04:06	None	None
Total US COVID-19 deaths could hit 500,000 by February, say researchers	456	115	2020-10-24 07:30:03	None	None
Child, 3, shot himself in leg with gun belonging to mom’s boyfriend, cops say	448	179	2020-10-20 23:01:24	None	None
Hurricane Center: Tropical disturbance has 90% chance of formation in Gulf in next 2 days	489	53	2020-10-24 20:30:55	None	None
Belgium fears virus “tsunami” as virus cases keep soaring	438	41	2020-10-19 16:19:02	None	None
The first firefighting robot in America is here -- and it has already helped fight a major fire in Los Angeles	428	43	2020-10-22 19:25:11	None	None
Japan, Vietnam agree to boost defense ties, resume flights	430	17	2020-10-19 11:34:34	None	None
Nevada reports more than 1,000 additional COVID-19 cases	536	51	2020-10-25 02:01:39	None	None
China, on reports it may detain Americans, says U.S. is trying to play the victim	426	94	2020-10-19 12:09:06	None	None
Puppy with green fur born in Italy	409	60	2020-10-22 19:59:05	None	None
France sees flurry of arrests after murder of teacher	405	70	2020-10-20 13:55:28	None	None
The AI that spots Alzheimer's from cookie drawing	453	44	2020-10-24 23:36:41	None	None
Attorney in Portsmouth, OH charged with Human Trafficking	372	84	2020-10-23 23:45:45	None	None
Special Taliban unit ambush Afghan forces butchering 34 during peace talks	366	76	2020-10-21 20:41:18	None	None
Prominent New York hotel developer Chang’s businesses received millions in PPP loans	364	21	2020-10-20 21:51:12	None	None
The RCMP have 'let down' Indigenous fishers facing violence in Nova Scotia: minister	361	90	2020-10-21 01:03:02	None	None
Alarm as Arctic sea ice not yet freezing at latest date on record	363	53	2020-10-23 00:58:40	None	None
Amazon extends work from home option till June	356	41	2020-10-21 05:37:16	None	None
First-time buyers fuel pandemic-related surge in gun sales	405	796	2020-10-24 19:56:26	None	None
Navy aircraft crashes in Alabama; extent of injuries unclear	351	20	2020-10-24 04:26:10	None	None
U.S. government agencies to use AI to cull and cut outdated regulations	343	68	2020-10-19 00:12:41	None	None
Mailman rescues man in chainsaw accident in Norwalk	337	45	2020-10-19 15:47:55	None	None
U.S. banks sweat regulatory exposure from pandemic loans	333	39	2020-10-21 16:56:46	None	None
A Colorado woman cited after her pet deer gored a woman walking her dog	333	91	2020-10-22 03:25:29	None	None
Trio who lived on space station return to Earth safely	320	13	2020-10-22 14:48:41	None	None
Russian Navy Seen Escorting Iranian Tankers Bound for Syria - USNI News	321	72	2020-10-21 23:09:34	None	None
Murdered Fort Hood soldier died “in the line of duty,” Army says	315	28	2020-10-21 00:21:53	None	None
Refusing to wear a mask in Ethiopia could cost you two years in jail	4862	426	2020-10-25 09:56:11	None	None
A university professor has been missing for nearly two weeks after hiking in Mount Rainier National Park	324	22	2020-10-24 00:49:26	None	None
Woman shot by officer seeks justice from hospital bed	2226	189	2020-10-25 09:15:00	None	None
Tensions rise after free speech rally turns violent in San Francisco	309	452	2020-10-19 07:14:19	None	None
Oil prices drop for 4th day as COVID-19 second wave worries intensify	310	63	2020-10-20 09:03:32	None	None
Canada sheds jobs for seventh straight month in September	310	98	2020-10-19 06:53:07	None	None
Goldman Sachs agrees to pay more than $2.9 billion to resolve probes into its 1MDB scandal	303	33	2020-10-22 20:28:00	None	None
Marines remove general investigated over alleged racial slur	301	46	2020-10-20 21:05:37	None	None
CDC warns of multi-state Listeria outbreak linked to deli meats	311	111	2020-10-24 07:42:33	None	None
Indiana school superintendent apologizes after a student was listed as 'Black Guy' in the high school yearbook	289	48	2020-10-23 01:01:19	None	None
Couple found guilty of murdering Irish dancer with 'Devil's breath' drug	286	52	2020-10-23 20:28:18	None	None
FWC uncovers a transnational wildlife trafficking operation in Florida	278	17	2020-10-19 22:43:31	None	None
Pakistan stays on global terrorism financing 'grey list'	280	27	2020-10-24 16:39:48	None	None
Jury finds Nebraska woman guilty of dismembering Tinder date	271	53	2020-10-23 22:43:41	None	None
Poland abortion ruling: Police use pepper spray against protesters	267	43	2020-10-23 13:31:09	None	None
Plan to retrieve Titanic radio spurs debate on human remains	262	91	2020-10-18 20:13:13	None	None
Australia will join India, the US and Japan in next month's Malabar naval exercises in the Indian Ocean, in a move that is expected to strengthen the military relationship between the four democracies amid increased tensions with China	257	31	2020-10-20 19:34:42	None	None
Portland NAACP president resigns following abuse allegations	257	15	2020-10-21 02:01:15	None	None
Russia says it's willing to freeze nuclear arsenal to extend arms treaty with US	255	50	2020-10-20 20:43:24	None	None
Two companies restart Covid-19 vaccine trials in US after safety pauses	277	5	2020-10-24 20:06:09	None	None
Czech Health Minister photographed without a face mask outside Prague restaurant, faces calls to resign	252	15	2020-10-23 13:01:35	None	None
A growing Colorado wildfire has forced Rocky Mountain National Park to close. Weekend snow gives some hope	247	24	2020-10-22 23:57:52	None	None
Russian hackers attack U.S. state and local government networks, U.S. government says	251	16	2020-10-23 01:17:33	None	None
Nurse accuses Miami doctor of purposely infecting her with coronavirus	379	32	2020-10-25 02:58:38	None	None
United Nations arms embargo on Iran expires despite objections of U.S.	247	50	2020-10-18 22:46:51	None	None
Evidence of dairy production in the Indus Valley Civilisation	288	14	2020-10-24 20:13:58	None	None
Global COVID-19 cases surpass the 40 million milestone	248	61	2020-10-19 10:40:38	None	None
Seven Charged in Flying Squirrel Trafficking Ring, Florida Officials Say	239	43	2020-10-20 05:29:31	None	None
Waukegan police officer fatally shoots teen after car reverses toward cop following traffic stop, police say	244	148	2020-10-22 20:51:54	None	None
Suspect arrested after free speech rally organizer assaulted in San Francisco, officials say	238	141	2020-10-20 03:13:32	None	None
Khashoggi fiancee sues Saudi Arabia's crown prince in U.S. court	235	19	2020-10-20 22:20:05	None	None
PG&E to shut off power to nearly half-million customers	238	83	2020-10-24 07:02:36	None	None
Father who allegedly abducted 2 daughters suspect in double homicide: Authorities	332	59	2020-10-25 04:14:00	None	None
U.S. fighter jets intercept Russian bombers near Alaska	225	78	2020-10-20 22:35:04	None	None
New details emerge in scandal that led to Anchorage mayor's resignation and TV reporter's arrest	228	68	2020-10-20 00:12:05	None	None
Thailand declares state of emergency to curb student-led protests	220	18	2020-10-19 16:28:50	None	None
Video shows Chinatown business owner flashing concealed weapon to protect tourist	222	128	2020-10-19 21:56:04	None	None
French teacher's killer messaged with parent angry over caricatures: source	218	80	2020-10-21 03:28:55	None	None
CDC redefines COVID-19 close contact, adds brief encounters	215	29	2020-10-21 22:38:24	None	None
Robeson County police officer hospitalized after being beaten while making arrest	215	114	2020-10-19 17:52:17	None	None
US coronavirus cases reach record high amid new wave of infections	212	47	2020-10-24 07:08:52	None	None
Doctors in Venezuela must fight through horrible conditions and the grief of losing colleagues to Covid-19 while treating patients.	212	15	2020-10-23 22:27:16	None	None
Durex sales surge after end of UK national Covid lockdown	202	24	2020-10-20 16:24:23	None	None
New Jersey governor installs new adjutant general after outbreak leads to 146 deaths at veterans homes	205	1	2020-10-20 19:25:14	None	None
Exclusive: National Guard called in to thwart cyberattack in Louisiana weeks before election	204	32	2020-10-23 23:35:14	None	None
Japan set to target zero emissions by 2050 in policy shift	200	34	2020-10-23 11:35:52	None	None
Nigeria protests: security forces open fire on protesters in Lagos	195	7	2020-10-21 06:08:44	None	None
Trial begins for former Canadian Olympic coach charged with sex assaults on students	195	5	2020-10-21 04:19:45	None	None
Turning point in Thailand: Queen's brush with protest	196	10	2020-10-23 18:25:45	None	None
Nigeria's anti-police protesters storm prison, free inmates	192	16	2020-10-19 20:23:05	None	None
Fed's Powell: More important for U.S. to get digital currency right than be first	189	41	2020-10-19 18:05:17	None	None
Netflix misses estimates for new subscribers as pandemic boost slows	185	155	2020-10-21 00:36:04	None	None
72 employees in the New York City district have died from Covid-19 virus	182	11	2020-10-23 01:24:11	None	None
Coronavirus live news: WHO says failure to quarantine behind soaring cases	183	41	2020-10-20 05:49:05	None	None
Portland officer accused of driving into theft suspect during protest in June	183	16	2020-10-23 04:11:18	None	None
Arson suspect arrested after series of fires in East Portland	180	20	2020-10-19 06:44:49	None	None
Paraguay authorities find at least seven bodies in fertilizer shipment	215	8	2020-10-24 23:26:32	None	None
At Least 5 Injured in Blast at Virginia Strip Mall	180	25	2020-10-21 12:37:56	None	None
Jerry Jeff Walker Dead at 78	195	32	2020-10-24 19:09:41	None	None
VA plans to outsource all compensation and pension exams	178	39	2020-10-22 01:41:41	None	None
CDC, training center warn of potential Legionella bacteria in low- or no-occupancy workplaces	177	17	2020-10-19 18:54:09	None	None
Sweden bans Huawei, ZTE from 5G mobile networks	173	12	2020-10-20 16:12:35	None	None
IBM is a step closer to developing accurate AI prediction model for Alzheimer's | ZDNet	173	14	2020-10-22 20:56:05	None	None
Pollution killing sea life in Russian far east 'not man made'	170	21	2020-10-23 14:45:44	None	None
Jacob Lawrence Painting, Missing for Decades, Is Found by Met Visitor	165	12	2020-10-21 20:40:51	None	None
Mother of 4 killed by pack of dogs in Walker County	168	83	2020-10-20 16:32:22	None	None
Asteroid samples escaping from jammed NASA spacecraft	167	38	2020-10-24 05:42:58	None	None
The 'Caspian Sea Monster' rises from the grave	168	20	2020-10-22 18:18:50	None	None
Taiwan official in hospital after alleged 'violent attack' by Chinese diplomats in Fiji | Fiji	162	7	2020-10-19 22:40:14	None	None
France teacher attack: Seven charged over Samuel Paty's killing	167	39	2020-10-23 01:34:04	None	None
Seven people handed over to judge in probe on French teacher's murder	157	41	2020-10-21 13:57:02	None	None
Gunman takes up to 20 hostages in Georgian bank, demands $500,000	159	39	2020-10-21 17:43:39	None	None
Scientists capture world's first 3,200-megapixel photos	167	24	2020-10-24 11:30:25	None	None
Police arrest demonstrators at Melbourne protest against coronavirus lockdown restrictions	160	19	2020-10-23 09:29:49	None	None
Volunteer in Oxford COVID-19 vaccine trial has died, Brazil health authority says	156	56	2020-10-21 21:08:19	None	None
$10 billion crypto firm Ripple considers relocating to London over U.S. regulation	186	35	2020-10-24 23:40:44	None	None
After impregnating an 11-year-old girl, a Gonzales man has been arrested	148	109	2020-10-21 02:55:17	None	None
Fears of oil spill grow over stricker tanker in Caribbean	144	10	2020-10-21 07:23:08	None	None
A Canadian police officer has been found not guilty over the death of a mentally ill Black man who was beaten during his arrest	149	52	2020-10-22 02:35:58	None	None
U.S. charges Russian military hackers with attacking American companies, targeting foreign elections	146	16	2020-10-19 22:00:54	None	None
China may not recognise British-issued Hong Kong passports	146	57	2020-10-23 16:00:09	None	None
PayPal to allow cryptocurrency buying, selling and shopping on its network	145	52	2020-10-21 16:28:18	None	None
New blood cancer treatment works by selectively interfering with cancer cell signalling	143	6	2020-10-22 14:10:36	None	None
Fed's Bostic says significant portions of U.S. recovery are weak or nonexistent	146	16	2020-10-20 04:58:32	None	None
An LSU hazing investigation, one student hospitalized, another dead: How the 3 are connected	140	54	2020-10-21 20:11:26	None	None
'Gimme Some Lovin' rock star Spencer Davis dead at 81	142	9	2020-10-20 23:32:32	None	None
