title	score	num_comm	created	content
UN Warns that World Risks Becoming ‘Uninhabitable Hell’	22912	2589	2020-10-13 15:41:16	
Coronavirus vaccination to be given for free in Japan	22854	986	2020-10-03 14:16:59	
'Immediately stop': China's warning to US after destroyer stand-off in disputed waters	22670	3225	2020-10-14 03:48:57	
Another universe existed before ours – and energy from it is coming out of black holes, says Nobel Prize winner	22328	1891	2020-10-08 22:44:35	
NATO would seek early summit with Biden, if elected, envoys say	21785	1824	2020-10-20 13:37:10	
Cambodia: Rat given gold medal for 'lifesaving bravery and devotion to duty' for discovering 39 landmines and clearing more than 141,000 square meters of land	21200	344	2020-09-25 18:56:57	
Australia says world needs to know origins of COVID-19	20762	1909	2020-09-26 04:41:26	
"Iran says Trump is no ""tough guy"" after he told country not to ""f**k with us"""	20764	1237	2020-10-10 16:44:50	
Trudeau says any approved COVID-19 vaccine will be free for all Canadians	20478	912	2020-10-08 14:49:23	
Far-right German politician sacked for reportedly suggesting migrants could be killed: German media reported that Lueth told a young blogger in Feb that the worse off Germany is, the better it would be for his party, and that migrants coming to the country “could still be shot later on … or gassed”.	19324	1340	2020-09-29 15:36:46	
Prime Minister Jacinda Ardern wins NZ election by a landslide	19156	1328	2020-10-17 13:19:19	
German chancellor hopeful says Trump win risks transatlantic collapse	19144	1526	2020-09-29 05:29:51	
Houthi court sentences Trump, King Salman and Saudi crown prince to death	18825	1302	2020-10-04 18:02:18	
Canada's last intact ice shelf broke off. It took our research station with it	18528	1082	2020-10-14 12:57:18	
Covid-19 Zero new cases today; No-one in hospital with virus - New Zealand	18063	822	2020-10-12 04:28:21	
Hospital Beds Filling, Bars Closing With Nearly All European Countries At Critical Coronavirus Threshold	17931	1431	2020-10-08 03:10:02	
ISIS attacks surge even as Trump boasts of a ‘100%’ defeated caliphate	17862	932	2020-10-19 03:59:28	
Greek neo-Nazi party Golden Dawn was run as criminal group, court rules after landmark case	17691	785	2020-10-07 15:58:56	
New Trump golf course provokes fury in Scotland	17355	913	2020-10-17 23:48:30	
The state of Victoria, Australia went from over 700 new COVID cases per day to recording zero new cases in the last 24hours, thanks to a hard Stage 4 lockdown and mandatory mask-wearing	17226	1364	2020-10-20 06:04:52	
Putin’s Troll Farm Busted Running Sprawling Network of Facebook Pages — The Russian operation used Facebook to find and recruit authentic, unwitting people to help hype their propaganda, many of them journalists.	17164	733	2020-09-25 15:02:52	
Poisoned Russian opposition leader Alexei Navalny says Putin's regime has 'gone insane'	17086	530	2020-10-07 21:27:49	
‘Unacceptable’ bacteria levels found on US meat may fuel fears over UK trade deal	16726	1367	2020-10-12 03:49:17	
Chinese kindergarten teacher sentenced to death for poisoning 25 students with nitrite-laced porridge	16400	966	2020-09-29 12:43:59	
German airport workers refuse to service Belarus dictator Lukashenko’s plane	16208	460	2020-10-16 00:43:20	
Germany calls for Russian sanctions after alleged poisoning of opposition leader	15891	471	2020-10-03 18:11:58	
Pope removes Polish bishop accused of sex abuse cover-up	15828	593	2020-10-17 18:10:15	
Sweden shifts away from no-lockdown strategy amid growing case numbers	15432	1788	2020-10-18 18:58:11	
An eyewitness tells BBC that #EndSARS police brutality protesters were kneeling in surrender when security forces fired on them in Lagos, Nigeria. Eyewitness says he counted 20 bodies on the ground after security forces opened fire.	15436	533	2020-10-21 14:30:51	
